Sr_No,MatchID,Name,Runs,Balls,4s,6s,Strike_Rate,Catches,Run_Out,Dream11Score
100,541,S Dhawan,42,30,7,1,140,1,0,29.5
101,544,S Dhawan,1,2,0,0,50,0,0,-2.5
102,551,S Dhawan,37,34,4,0,108,0,0,20.5
103,555,S Dhawan,15,15,3,0,100,0,0,9
104,558,S Dhawan,54,36,6,2,150,0,0,36
105,561,S Dhawan,13,10,2,0,130,0,0,7.5
106,564,S Dhawan,24,19,4,0,126,1,0,18
107,568,S Dhawan,8,7,1,0,114,1,0,8.5
108,572,S Dhawan,1,2,0,0,50,1,0,1.5
109,580,S Dhawan,8,9,1,0,88,0,0,4.5
110,584,S Dhawan,6,7,1,0,85,0,0,3.5
111,588,S Dhawan,2,4,0,0,50,0,0,-2
112,591,S Dhawan,53,44,5,0,120,0,0,33
113,594,S Dhawan,45,46,4,0,97,0,1,28.5
114,598,S Dhawan,56,55,2,1,101,0,0,34
115,603,S Dhawan,11,11,2,0,100,1,0,10.5
116,610,S Dhawan,47,40,6,0,117,0,0,26.5
117,613,S Dhawan,82,57,10,1,143,1,0,55
118,616,S Dhawan,33,27,2,2,122,1,0,23.5
119,618,S Dhawan,34,37,3,0,91,0,0,18.5
120,622,S Dhawan,25,23,4,0,108,0,0,14.5
121,628,S Dhawan,10,8,2,0,125,0,0,6
122,631,S Dhawan,51,30,4,3,170,0,0,34.5
123,634,S Dhawan,10,10,2,0,100,1,0,10
124,635,S Dhawan,0,4,0,0,0,1,0,1
125,636,S Dhawan,28,26,3,1,107,0,0,16.5
