,Players
0,BB McCullum
1,VVS Laxman
2,DPMD Jayawardene
3,BJ Hodge
4,RA Jadeja
5,RV Gomez
6,PA Patel
7,R Vinay Kumar
8,S Sreesanth
9,RP Singh
10,KM Jadhav
11,RR Powar
12,NLTC Perera
13,M Muralitharan
14,M Klinger
15,B Akhil
16,P Parameswaran
17,OA Shah
18,Y Gnaneswara Rao
