,Players
0,JJ Roy
1,BB McCullum
2,SK Raina
3,AJ Finch
4,KD Karthik
5,DR Smith
6,DS Kulkarni
7,P Kumar
8,Basil Thampi
9,Ishan Kishan
10,RA Jadeja
11,AJ Tye
12,JP Faulkner
13,AD Nath
14,IK Pathan
15,Ankit Soni
16,PJ Sangwan
17,MM Patel
18,DJ Bravo
19,DW Steyn
20,PV Tambe
21,S Kaushik
22,ER Dwivedi
23,SB Jakati
