,Players
0,G Gambhir
1,CA Lynn
2,RV Uthappa
3,MK Pandey
4,YK Pathan
5,SA Yadav
6,CR Woakes
7,SP Narine
8,C de Grandhomme
9,Shakib Al Hasan
10,NM Coulter-Nile
11,Kuldeep Yadav
12,UT Yadav
13,DM Bravo
14,SP Jackson
15,TA Boult
16,IR Jaggi
17,PP Chawla
18,AS Rajpoot
19,SC Ganguly
20,BB McCullum
21,RT Ponting
22,DJ Hussey
23,Mohammad Hafeez
24,WP Saha
25,LR Shukla
26,AB Agarkar
27,M Kartik
28,I Sharma
29,DB Das
30,Salman Butt
31,BJ Hodge
32,Umar Gul
33,AB Dinda
34,A Chopra
35,T Taibu
36,Iqbal Abdulla
37,Shoaib Akhtar
38,CH Gayle
39,MC Henriques
40,SB Bangar
41,Yashpal Singh
42,AN Ghosh
43,BAW Mendis
44,MN van Wyk
45,AD Mathews
46,Mashrafe Mortaza
47,SS Shaikh
48,MK Tiwary
49,CA Pujara
50,OA Shah
51,RS Gavaskar
52,SE Bond
53,Mandeep Singh
54,CK Langeveldt
55,MS Bisla
56,JH Kallis
57,EJG Morgan
58,R Bhatia
59,B Lee
60,L Balaji
61,BJ Haddin
62,SP Goswami
63,RN ten Doeschate
64,MV Boucher
65,Mohammed Shami
66,R McLaren
67,PJ Sangwan
68,SMSM Senanayake
69,S Narwal
70,P Dogra
71,R Vinay Kumar
72,M Morkel
73,AD Russell
74,J Botha
75,PJ Cummins
76,GB Hogg
77,Azhar Mahmood
78,C Munro
79,R Sathish
80,JO Holder
