,Players
0,AC Gilchrist
1,Y Venugopal Rao
2,VVS Laxman
3,A Symonds
4,RG Sharma
5,SB Styris
6,AS Yadav
7,SB Bangar
8,WPUJC Vaas
9,RP Singh
10,Shahid Afridi
11,HH Gibbs
12,DNT Zoysa
13,D Kalyankrishna
14,LPC Silva
15,DB Ravi Teja
16,PP Ojha
17,PM Sarvesh Kumar
18,DP Vijaykumar
19,H Das
20,FH Edwards
21,DR Smith
22,AA Bilakhia
23,TL Suman
24,Shoaib Ahmed
25,RJ Harris
26,Anirudh Singh
27,Jaskaran Singh
28,MD Mishra
29,R Sharma
30,KAJ Roach
31,B Sumanth
32,MR Marsh
33,Harmeet Singh
34,S Dhawan
35,IR Jaggi
36,KC Sangakkara
37,B Chipli
38,JP Duminy
39,DT Christian
40,DW Steyn
41,A Mishra
42,I Sharma
43,S Sohal
44,MS Gony
45,CL White
46,I Malhotra
47,MJ Lumb
48,DJ Harris
49,PA Patel
50,Ankit Sharma
51,AA Jhunjhunwala
52,A Ashish Reddy
53,V Pratap Singh
54,BB Samantray
55,PA Reddy
56,J Theron
57,CA Lynn
