,Players
0,AP Tare
1,SW Billings
2,KK Nair
3,SV Samson
4,RR Pant
5,CH Morris
6,CR Brathwaite
7,PJ Cummins
8,A Mishra
9,S Nadeem
10,Z Khan
11,CJ Anderson
12,SS Iyer
13,AD Mathews
14,Mohammed Shami
15,K Rabada
16,AR Bawne
17,MN Samuels
18,G Gambhir
19,V Sehwag
20,S Dhawan
21,Shoaib Malik
22,MK Tiwary
23,KD Karthik
24,R Bhatia
25,MF Maharoof
26,VY Mahesh
27,AB de Villiers
28,PJ Sangwan
29,Mohammad Asif
30,GD McGrath
31,TM Dilshan
32,M Manhas
33,DL Vettori
34,DA Warner
35,A Nehra
36,AB McDonald
37,Y Nagar
38,S Ladda
39,DP Nannes
40,MC Henriques
41,UT Yadav
42,KM Jadhav
43,PD Collingwood
44,UBT Chand
45,AJ Finch
46,NV Ojha
47,Y Venugopal Rao
48,IK Pathan
49,RE van der Merwe
50,M Morkel
51,AB Dinda
52,MS Wade
53,JR Hopes
54,TR Birt
55,CA Ingram
56,AB Agarkar
57,S Sriram
58,VR Aaron
59,GJ Maxwell
60,DAJ Bracewell
61,KP Pietersen
62,DPMD Jayawardene
63,LRPL Taylor
64,P Negi
65,AD Russell
66,Sunny Gupta
67,MC Juneja
68,J Botha
69,BMAJ Mendis
70,BJ Rohrer
71,CM Gautam
72,S Kaul
73,B Chipli
74,MA Agarwal
75,M Vijay
76,JP Duminy
77,JDS Neesham
78,JD Unadkat
79,Q de Kock
80,LR Shukla
81,R Shukla
82,Imran Tahir
83,WD Parnell
84,JA Morkel
85,Yuvraj Singh
86,NM Coulter-Nile
87,DJ Muthuswami
88,SS Tiwary
89,J Yadav
