,Players
0,T Kohli
1,YK Pathan
2,SR Watson
3,M Kaif
4,DS Lehmann
5,RA Jadeja
6,M Rawat
7,D Salunkhe
8,SK Warne
9,SK Trivedi
10,Kamran Akmal
11,GC Smith
12,Pankaj Singh
13,SA Asnodkar
14,Sohail Tanvir
15,MM Patel
16,AD Mascarenhas
17,Niraj Patel
18,Younis Khan
19,T Henderson
20,Kamran Khan
21,PC Valthaty
22,RJ Quiney
23,AS Raut
24,LA Carseldine
25,NV Ojha
26,SM Harwood
27,M Morkel
28,SD Chitnis
29,J Botha
30,A Singh
31,AA Jhunjhunwala
32,P Dogra
33,A Uniyal
34,MJ Lumb
35,DR Martyn
36,S Narwal
37,FY Fazal
38,AC Voges
39,SW Tait
40,AP Dole
41,AG Paunikar
42,AJ Finch
43,R Dravid
44,LRPL Taylor
45,AL Menaria
46,AM Rahane
47,STR Binny
48,DH Yagnik
49,PR Shah
50,JDP Oram
51,AA Chavan
52,ND Doshi
53,BJ Hodge
54,OA Shah
55,KK Cooper
56,SP Goswami
57,GB Hogg
58,A Chandila
59,MDKJ Perera
60,R Shukla
61,S Sreesanth
62,JP Faulkner
63,SV Samson
64,Sachin Baby
65,PV Tambe
66,AM Nayar
67,R Bhatia
68,SPD Smith
69,TG Southee
70,DS Kulkarni
71,KK Nair
72,KW Richardson
73,Ankit Sharma
74,BCJ Cutting
75,UBT Chand
76,R Tewatia
77,VS Malik
78,DJ Hooda
79,CH Morris
80,J Theron
