,Players
0,CH Gayle
1,Mandeep Singh
2,TM Head
3,KM Jadhav
4,SR Watson
5,Sachin Baby
6,STR Binny
7,S Aravind
8,YS Chahal
9,TS Mills
10,A Choudhary
11,Vishnu Vinod
12,Iqbal Abdulla
13,P Negi
14,AB de Villiers
15,V Kohli
16,AF Milne
17,S Badree
18,R Dravid
19,W Jaffer
20,JH Kallis
21,CL White
22,MV Boucher
23,B Akhil
24,AA Noffke
25,P Kumar
26,Z Khan
27,SB Joshi
28,S Chanderpaul
29,LRPL Taylor
30,R Vinay Kumar
31,B Chipli
32,DW Steyn
33,Misbah-ul-Haq
34,DT Patil
35,A Kumble
36,J Arunkumar
37,SP Goswami
38,Abdur Razzak
39,JD Ryder
40,KP Pietersen
41,RV Uthappa
42,R Bishnoi
43,KV Sharma
44,Pankaj Singh
45,RE van der Merwe
46,MK Pandey
47,KP Appanna
48,D du Preez
49,EJG Morgan
50,A Mithun
51,S Sriram
52,MA Agarwal
53,TM Dilshan
54,SS Tiwary
55,AUK Pathan
56,CA Pujara
57,JJ van der Wath
58,R Ninan
59,DL Vettori
60,J Syed Mohammad
61,M Kaif
62,LA Pomersbach
63,KB Arun Karthik
64,CK Langeveldt
65,AB McDonald
66,HV Patel
67,RR Bhatkal
68,M Muralitharan
69,P Parameswaran
70,DT Christian
71,KK Nair
72,MC Henriques
73,M Kartik
74,JD Unadkat
75,R Rampaul
76,KL Rahul
77,A Mukund
78,PA Patel
79,NJ Maddinson
80,Yuvraj Singh
81,YV Takawale
82,JA Morkel
83,S Rana
84,MA Starc
85,AB Dinda
86,VR Aaron
87,RR Rossouw
88,VH Zol
89,AN Ahmed
90,KD Karthik
91,DJG Sammy
92,SA Abbott
93,MS Bisla
94,D Wiese
95,SN Khan
96,KW Richardson
97,Parvez Rasool
98,CJ Jordan
