,Players
0,PA Patel
1,ML Hayden
2,MEK Hussey
3,MS Dhoni
4,SK Raina
5,JDP Oram
6,S Badrinath
7,SP Fleming
8,S Vidyut
9,JA Morkel
10,Joginder Sharma
11,MS Gony
12,M Muralitharan
13,M Ntini
14,S Anirudha
15,CK Kapugedera
16,L Balaji
17,A Mukund
18,A Flintoff
19,T Thushara
20,M Vijay
21,SB Jakati
22,GJ Bailey
23,R Ashwin
24,JM Kemp
25,S Tyagi
26,KB Arun Karthik
27,DE Bollinger
28,SB Styris
29,S Randiv
30,WP Saha
31,DJ Bravo
32,F du Plessis
33,RA Jadeja
34,KMDN Kulasekara
35,B Laughlin
36,AS Rajpoot
37,CH Morris
38,MM Sharma
39,DR Smith
40,BB McCullum
41,M Manhas
42,DJ Hussey
43,P Negi
44,A Nehra
45,RG More
