,Players
0,AM Rahane
1,F du Plessis
2,KP Pietersen
3,SPD Smith
4,MS Dhoni
5,MR Marsh
6,R Bhatia
7,NLTC Perera
8,IK Pathan
9,R Ashwin
10,Ankit Sharma
11,M Ashwin
12,JA Morkel
13,SS Tiwary
14,PSP Handscomb
15,UT Khawaja
16,GJ Bailey
17,A Zampa
