,Players
0,AM Rahane
1,MA Agarwal
2,SPD Smith
3,BA Stokes
4,MS Dhoni
5,MK Tiwary
6,DT Christian
7,F du Plessis
8,RA Tripathi
9,R Bhatia
10,DL Chahar
11,A Zampa
12,AB Dinda
13,Imran Tahir
14,Ankit Sharma
15,SN Thakur
16,RD Chahar
17,LH Ferguson
18,JD Unadkat
19,Washington Sundar
