,Players
0,DA Warner
1,S Dhawan
2,MC Henriques
3,Yuvraj Singh
4,DJ Hooda
5,BCJ Cutting
6,NV Ojha
7,V Shankar
8,Rashid Khan
9,B Kumar
10,Bipul Sharma
11,Mohammad Nabi
12,KS Williamson
13,S Kaul
14,CJ Jordan
15,PA Reddy
16,PA Patel
17,KC Sangakkara
18,CL White
19,NLTC Perera
20,GH Vihari
21,A Ashish Reddy
22,DB Ravi Teja
23,DW Steyn
24,A Mishra
25,KV Sharma
26,Q de Kock
27,BB Samantray
28,X Thalaivan Sargunam
29,DJG Sammy
30,AJ Finch
31,KL Rahul
32,Y Venugopal Rao
33,IK Pathan
34,S Anirudha
35,JO Holder
36,RS Bopara
37,Parvez Rasool
38,EJG Morgan
39,P Kumar
40,AP Tare
41,BB Sran
42,A Nehra
